model,training_size,n_repeats,auroc_mean,auroc_lo,auroc_hi,f1_mean,f1_lo,f1_hi,accuracy_mean,accuracy_lo,accuracy_hi,precision_mean,precision_lo,precision_hi,recall_mean,recall_lo,recall_hi
logistic_regression,80,20,0.6370312499999999,0.48303124999999997,0.777890625,0.5891666334084811,0.4813103448275862,0.7094711538461538,0.6049999999999999,0.46125,0.7190624999999999,0.6222421569998645,0.46679669030732857,0.7636946386946387,0.5662499999999999,0.45,0.725
logistic_regression,120,20,0.64,0.5562031249999999,0.7293124999999999,0.5690678234395803,0.4920454545454545,0.6676520847573478,0.6025,0.55,0.6821875,0.6210206763454729,0.5555727554179567,0.7057291666666666,0.5275000000000001,0.411875,0.6381249999999999
logistic_regression,160,20,0.6304062500000001,0.5293593750000001,0.7170625,0.5784742917527577,0.4986111111111111,0.6584415584415584,0.6087499999999999,0.5428125,0.6815625,0.627141914850862,0.5485008445945946,0.7120967741935484,0.5387500000000001,0.436875,0.625
logistic_regression,200,20,0.65271875,0.5956875,0.7309062500000001,0.575866460942164,0.505,0.658108108108108,0.6106250000000001,0.55,0.688125,0.6331834068598774,0.5608333333333333,0.7420833333333333,0.52875,0.44875,0.6
logistic_regression,240,20,0.6508750000000001,0.586921875,0.690421875,0.5846412364814784,0.516891627543036,0.6529519583252942,0.6187500000000001,0.5684374999999999,0.6875,0.6422201700255542,0.5868699596774194,0.7349706744868035,0.5374999999999999,0.461875,0.6
logistic_regression,280,20,0.65425,0.611625,0.7071562499999999,0.5734064282732837,0.5134574570711943,0.6582019519519519,0.6156249999999999,0.5625,0.688125,0.6439820037252437,0.5780791788856305,0.7274356617647059,0.5174999999999998,0.461875,0.60125
logistic_regression,320,20,0.65875,0.6587500000000001,0.6587500000000001,0.5833333333333335,0.5833333333333334,0.5833333333333334,0.625,0.625,0.625,0.65625,0.65625,0.65625,0.5250000000000001,0.525,0.525
random_forest,80,20,0.6669531249999999,0.483734375,0.7741406250000001,0.6098020679843774,0.4381233346022078,0.7213888888888887,0.6225,0.48031250000000003,0.725625,0.6304486808695903,0.47459677419354834,0.7540125885129818,0.5937499999999999,0.3975,0.7381249999999999
random_forest,120,20,0.6575468750000002,0.5575,0.741375,0.5818425583910283,0.49529268292682926,0.6710365853658536,0.6043749999999999,0.5059374999999999,0.675,0.6189450092285759,0.5067857142857143,0.7024417562724015,0.5512500000000001,0.461875,0.6643749999999998
random_forest,160,20,0.6624062499999999,0.5755390625,0.7610234375,0.6001572024958449,0.49937865497076017,0.6841463414634146,0.6174999999999999,0.5296875,0.688125,0.6311862683269917,0.5276162790697675,0.743131868131868,0.57625,0.461875,0.7012499999999999
random_forest,200,20,0.690953125,0.5978828125,0.7729374999999998,0.6117421352747741,0.5361742424242424,0.6842725853996878,0.6312499999999999,0.5684374999999999,0.7006249999999999,0.6476891014601815,0.5710979729729729,0.737012987012987,0.58125,0.49875,0.65125
random_forest,240,20,0.6828125,0.6398124999999999,0.7251796875000001,0.6305540224181098,0.5821829996487531,0.6886835443037974,0.639375,0.6059375,0.7006249999999999,0.647187847797955,0.6049418604651162,0.7188461538461538,0.61625,0.536875,0.675
random_forest,280,20,0.6805625,0.6370625,0.7316640624999999,0.6165150250930341,0.5429662802950473,0.6842407592407592,0.624375,0.561875,0.6940624999999999,0.6298484367239559,0.5632565789473685,0.7068100995732575,0.605,0.511875,0.675
random_forest,320,20,0.7162500000000002,0.71625,0.71625,0.641025641025641,0.6410256410256411,0.6410256410256411,0.6500000000000001,0.65,0.65,0.6578947368421055,0.6578947368421053,0.6578947368421053,0.625,0.625,0.625
svm_rbf,80,20,0.5923437500000001,0.299546875,0.7538984375,0.60856375124608,0.4079861111111111,0.7276091954022987,0.6343750000000001,0.511875,0.725625,0.649955574653687,0.511875,0.7505844155844156,0.58375,0.32375,0.7893749999999998
svm_rbf,120,20,0.63534375,0.3175234375,0.7558359374999999,0.6086873055292663,0.48508125677139763,0.7173707488180571,0.6475000000000001,0.56,0.71375,0.683846170770894,0.5662380122057541,0.7645833333333333,0.5537500000000002,0.411875,0.725
svm_rbf,160,20,0.6904843749999999,0.48923437500000005,0.7776562499999999,0.6541352794327434,0.5435076380728554,0.7254926108374384,0.67125,0.5934375,0.7190624999999999,0.6881890520712994,0.6190922920892495,0.7543277310924369,0.6275000000000001,0.48562500000000003,0.77625
svm_rbf,200,20,0.72203125,0.647578125,0.7951796875,0.6486517925187243,0.5654285714285714,0.7274831081081081,0.6681250000000001,0.6053125,0.7381249999999999,0.6883459013996136,0.6105555555555555,0.7731617647058823,0.61625,0.5,0.725
svm_rbf,240,20,0.7188281249999999,0.647796875,0.752921875,0.6380368952548243,0.5692586399108138,0.7061431989063568,0.6624999999999999,0.6059375,0.7190624999999999,0.6870739819355692,0.6258712660028449,0.7403716216216216,0.59875,0.49875,0.7
svm_rbf,280,20,0.7357187500000001,0.6968593750000001,0.7653046875,0.6420685325064812,0.584400705052879,0.6712121212121211,0.6656250000000001,0.6303125,0.6940624999999999,0.6907583785970528,0.6567703952901598,0.73515625,0.60125,0.5225,0.663125
svm_rbf,320,20,0.7453125000000002,0.7453125,0.7453125,0.6400000000000001,0.64,0.64,0.6624999999999999,0.6625,0.6625,0.6857142857142856,0.6857142857142857,0.6857142857142857,0.5999999999999999,0.6,0.6
